지점,지점명,일시,평균기온(°C),일강수량(mm)
119,수원,2025-06-17,23.5,.1
119,수원,2025-06-18,24.4,
119,수원,2025-06-19,26.8,0
119,수원,2025-06-20,23.7,45.7
119,수원,2025-06-21,21.2,.3
119,수원,2025-06-22,21.8,
119,수원,2025-06-23,24.2,
119,수원,2025-06-24,24.2,3
119,수원,2025-06-25,20.5,8
119,수원,2025-06-26,21.2,.7
119,수원,2025-06-27,24.5,0
119,수원,2025-06-28,26,.2
119,수원,2025-06-29,26.8,
119,수원,2025-06-30,27.4,
119,수원,2025-07-01,27.6,2.3
119,수원,2025-07-02,27.7,
119,수원,2025-07-03,27.4,
119,수원,2025-07-04,26.6,
119,수원,2025-07-05,27.7,
119,수원,2025-07-06,27.9,
119,수원,2025-07-07,28.2,
119,수원,2025-07-08,29.2,17.4
119,수원,2025-07-09,30.8,
119,수원,2025-07-10,30.5,
119,수원,2025-07-11,29.4,
119,수원,2025-07-12,28.3,
119,수원,2025-07-13,24.8,1.5
119,수원,2025-07-14,23,16.3
119,수원,2025-07-15,22.3,5.2
119,수원,2025-07-16,22.7,43.3
119,수원,2025-07-17,22.9,68.1
